longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,facilities
-74.056102,4.6828265,6,2,59.2,4,1,1,0.0,3,3800000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Instalación de gas', 'Jardín', 'Loft', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Salón Comunal', 'Sauna / Turco / Jacuzzi', 'Sauna / Turco / Jacuzzi', 'Terraza', 'Trans. Público cercano', 'Zona de lavandería', 'Zona Residencial']"
-74.0441202,4.775625,2,2,42.0,0,1,0,0.0,6,1450000,"['Ascensor', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Cocina Integral', 'Colegios / Universidades', 'En conjunto cerrado', 'Instalación de gas', 'Parques cercanos', 'Piso en Baldosa /  Mármol', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Trans. Público cercano', 'Vista panorámica', 'Vivienda Multifamiliar', 'Zona de lavandería', 'Zona Residencial', 'Zonas Verdes']"
-74.14511,4.6859209,3,1,72.0,23,2,0,0.0,0,1000000,"['Acceso Pavimentado', 'Alcantarillado', 'Colegios / Universidades', 'Parques cercanos', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zonas Verdes']"
-74.0489007,4.6502899,6,5,310.0,31,4,2,0.0,3,14500000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Colegios / Universidades', 'Comedor auxiliar', 'Cuarto de servicio', 'Depósito / Bodega', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Sobre vía principal', 'Zona de lavandería', 'Zona Residencial']"
-74.0747102,4.5921609,2,1,41.0,4,1,0,0.0,0,2400000,"['Acceso Pavimentado', 'Aire Acondicionado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Balcón', 'Cocina Integral', 'Colegios / Universidades', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.056306139439,4.6742401861247,6,3,120.0,12,2,2,0.0,5,8100000,"['Ascensor', 'Barra estilo americano', 'Baño Auxiliar', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'En conjunto cerrado', 'Estudio', 'Hall de Alcobas', 'Instalación de gas', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Sala de internet', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona Infantil', 'Zonas Verdes']"
-74.071068,4.616395,4,1,49.0,12,1,1,0.0,0,2460420,"['Ascensor', 'Calentador', 'Cancha de Squash', 'Chimenea', 'Citófono', 'Closet', 'Cocina Equipada', 'Cocina Integral', 'Comedor', 'Cómodas vias de acceso', 'Depósito / Bodega', 'En zona residencial', 'Garaje / Parqueadero(s)', 'Garaje Cubierto', 'Gimnasio', 'Parqueadero Visitantes', 'Parques cercanos', 'Piscina', 'Planta Eléctrica', 'Portería / Recepción', 'Portería / Vigilancia', 'Salón Comunal', 'Sauna / Turco / Jacuzzi', 'Servicios independientes', 'Servicios Públicos', 'Sobre vía secundaria', 'Trans. Público cercano', 'Ubicada en edificio', 'Ventilación Natural', 'Vigilancia 24x7', 'Vigilancia privada 24*7', 'Zona Residencial']"
-74.0300841,4.7636175,3,1,36.0,23,2,0,120000.0,0,1380000,"['Acceso Pavimentado', 'Alcantarillado', 'Colegios / Universidades', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zonas Verdes']"
-74.0705108,4.6048102,3,3,98.0,4,2,1,380000.0,32,3120000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina tipo Americano', 'Colegios / Universidades', 'En conjunto cerrado', 'Estudio', 'Gimnasio', 'Hall de Alcobas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Sobre vía principal', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Vigilancia', 'Zona Comercial', 'Zona Residencial']"
-74.0747102,4.5921609,2,1,31.0,4,1,0,0.0,0,2100000,"['Acceso Pavimentado', 'Alcantarillado', 'Amoblado', 'Ascensor', 'Cocina Integral', 'Colegios / Universidades', 'Depósito / Bodega', 'Gimnasio', 'Parques cercanos', 'Sensor de movimiento', 'Servicios Públicos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona de BBQ', 'Zonas Verdes']"
-74.051849,4.679977,6,2,44.0,0,1,1,0.0,3,3299000,"['Ascensor', 'Balcón', 'Barra estilo americano', 'Baño Auxiliar', 'Calentador', 'Circuito cerrado de TV', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Colegios / Universidades', 'Depósito / Bodega', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Instalación de gas', 'Oficina de negocios', 'Parqueadero Visitantes', 'Parques cercanos', 'Planta Eléctrica', 'Portería / Recepción', 'Sala de internet', 'Salón Comunal', 'Supermercados / C.Comerciales', 'Terraza', 'Trans. Público cercano', 'Vigilancia', 'Zona de lavandería', 'Zona Residencial', 'Zonas Verdes']"
